Abbrev,Meas Date,Streamflow Value,Streamflow Meas Units,Streamflow Review Status,Streamflow Data Source,
"PLADENCO","05/24/2000","398.000000","cfs","A","DWR",
"PLADENCO","05/25/2000","502.000000","cfs","A","DWR",
"PLADENCO","05/26/2000","435.000000","cfs","A","DWR",
"PLADENCO","05/27/2000","431.000000","cfs","A","DWR",
"PLADENCO","05/28/2000","412.000000","cfs","A","DWR",
"PLADENCO","05/29/2000","403.000000","cfs","A","DWR",
"PLADENCO","05/30/2000","393.000000","cfs","A","DWR",
"PLADENCO","05/31/2000","360.000000","cfs","A","DWR",
"PLADENCO","06/01/2000","349.000000","cfs","A","DWR",
"PLADENCO","06/02/2000","353.000000","cfs","A","DWR",
"PLADENCO","06/03/2000","374.000000","cfs","A","DWR",
"PLADENCO","06/04/2000","381.000000","cfs","A","DWR",
"PLADENCO","06/05/2000","373.000000","cfs","A","DWR",
"PLADENCO","06/06/2000","354.000000","cfs","A","DWR",
"PLADENCO","06/07/2000","334.000000","cfs","A","DWR",
"PLADENCO","06/08/2000","343.000000","cfs","A","DWR",
"PLADENCO","06/09/2000","391.000000","cfs","A","DWR",
"PLADENCO","06/10/2000","423.000000","cfs","A","DWR",
"PLADENCO","06/11/2000","419.000000","cfs","A","DWR",
"PLADENCO","06/12/2000","411.000000","cfs","A","DWR",
"PLADENCO","06/13/2000","352.000000","cfs","A","DWR",
"PLADENCO","06/14/2000","286.000000","cfs","A","DWR",
"PLADENCO","06/15/2000","244.000000","cfs","A","DWR",
"PLADENCO","06/16/2000","281.000000","cfs","A","DWR",
"PLADENCO","06/17/2000","399.000000","cfs","A","DWR",
"PLADENCO","06/18/2000","212.000000","cfs","A","DWR",
"PLADENCO","06/19/2000","209.000000","cfs","A","DWR",
"PLADENCO","06/20/2000","380.000000","cfs","A","DWR",
"PLADENCO","06/21/2000","199.000000","cfs","A","DWR",
"PLADENCO","06/22/2000","338.000000","cfs","A","DWR",
"PLADENCO","06/23/2000","330.000000","cfs","A","DWR",
"PLADENCO","06/24/2000","262.000000","cfs","A","DWR",
"PLADENCO","06/25/2000","261.000000","cfs","A","DWR",
"PLADENCO","06/26/2000","462.000000","cfs","A","DWR",
"PLADENCO","06/27/2000","385.000000","cfs","A","DWR",
"PLADENCO","06/28/2000","494.000000","cfs","A","DWR",
"PLADENCO","06/29/2000","282.000000","cfs","A","DWR",
"PLADENCO","06/30/2000","216.000000","cfs","A","DWR",
"PLADENCO","07/01/2000","276.000000","cfs","A","DWR",
"PLADENCO","07/02/2000","284.000000","cfs","A","DWR",
"PLADENCO","07/03/2000","245.000000","cfs","A","DWR",
"PLADENCO","07/04/2000","245.000000","cfs","A","DWR",
"PLADENCO","07/05/2000","286.000000","cfs","A","DWR",
"PLADENCO","07/06/2000","274.000000","cfs","A","DWR",
"PLADENCO","07/07/2000","214.000000","cfs","A","DWR",
"PLADENCO","07/08/2000","222.000000","cfs","A","DWR",
"PLADENCO","07/09/2000","222.000000","cfs","A","DWR",
"PLADENCO","07/10/2000","239.000000","cfs","A","DWR",
"PLADENCO","07/11/2000","295.000000","cfs","A","DWR",
"PLADENCO","07/12/2000","274.000000","cfs","A","DWR",
"PLADENCO","07/13/2000","270.000000","cfs","A","DWR",
"PLADENCO","07/14/2000","300.000000","cfs","A","DWR",
"PLADENCO","07/15/2000","344.000000","cfs","A","DWR",
"PLADENCO","07/16/2000","584.000000","cfs","A","DWR",
"PLADENCO","07/17/2000","1880.000000","cfs","A","DWR",
"PLADENCO","07/18/2000","705.000000","cfs","A","DWR",
"PLADENCO","07/19/2000","286.000000","cfs","A","DWR",
"PLADENCO","07/20/2000","267.000000","cfs","A","DWR",
"PLADENCO","07/21/2000","294.000000","cfs","A","DWR",
"PLADENCO","07/22/2000","245.000000","cfs","A","DWR",
"PLADENCO","07/23/2000","256.000000","cfs","A","DWR",
"PLADENCO","07/24/2000","224.000000","cfs","A","DWR",
"PLADENCO","07/25/2000","198.000000","cfs","A","DWR",
"PLADENCO","07/26/2000","178.000000","cfs","A","DWR",
"PLADENCO","07/27/2000","158.000000","cfs","A","DWR",
"PLADENCO","07/28/2000","132.000000","cfs","A","DWR",
"PLADENCO","07/29/2000","138.000000","cfs","A","DWR",
"PLADENCO","07/30/2000","190.000000","cfs","A","DWR",
"PLADENCO","07/31/2000","175.000000","cfs","A","DWR",
"PLADENCO","08/01/2000","172.000000","cfs","A","DWR",
"PLADENCO","08/02/2000","218.000000","cfs","A","DWR",
"PLADENCO","08/03/2000","180.000000","cfs","A","DWR",
"PLADENCO","08/04/2000","164.000000","cfs","A","DWR",
"PLADENCO","08/05/2000","173.000000","cfs","A","DWR",
"PLADENCO","08/06/2000","173.000000","cfs","A","DWR",
"PLADENCO","08/07/2000","184.000000","cfs","A","DWR",
"PLADENCO","08/08/2000","177.000000","cfs","A","DWR",
"PLADENCO","08/09/2000","131.000000","cfs","A","DWR",
"PLADENCO","08/10/2000","103.000000","cfs","A","DWR",
"PLADENCO","08/11/2000","104.000000","cfs","A","DWR",
"PLADENCO","08/12/2000","122.000000","cfs","A","DWR",
"PLADENCO","08/13/2000","148.000000","cfs","A","DWR",
"PLADENCO","08/14/2000","174.000000","cfs","A","DWR",
"PLADENCO","08/15/2000","132.000000","cfs","A","DWR",
"PLADENCO","08/16/2000","142.000000","cfs","A","DWR",
"PLADENCO","08/17/2000","1010.000000","cfs","A","DWR",
"PLADENCO","08/18/2000","799.000000","cfs","A","DWR",
"PLADENCO","08/19/2000","366.000000","cfs","A","DWR",
"PLADENCO","08/20/2000","285.000000","cfs","A","DWR",
"PLADENCO","08/21/2000","186.000000","cfs","A","DWR",
"PLADENCO","08/22/2000","161.000000","cfs","A","DWR",
"PLADENCO","08/23/2000","154.000000","cfs","A","DWR",
"PLADENCO","08/24/2000","158.000000","cfs","A","DWR",
"PLADENCO","08/25/2000","185.000000","cfs","A","DWR",
"PLADENCO","08/26/2000","415.000000","cfs","A","DWR",
"PLADENCO","08/27/2000","213.000000","cfs","A","DWR",
"PLADENCO","08/28/2000","417.000000","cfs","A","DWR",
"PLADENCO","08/29/2000","536.000000","cfs","A","DWR",
"PLADENCO","08/30/2000","213.000000","cfs","A","DWR",
"PLADENCO","08/31/2000","321.000000","cfs","A","DWR",
"PLADENCO","09/01/2000","264.000000","cfs","A","DWR",
"PLADENCO","09/02/2000","186.000000","cfs","A","DWR",
