station_name,elevation,lat,lon
Apishapa,10000,37.3306199999979,-105.06749000001003
Arapaho Ridge,10960,40.350979999994834,-106.3509799999908
Bear Lake,9500,40.31176000000571,-105.64670000001124
Bear River,9080,40.061530000004446,-107.00954999999684
Beartown,11600,37.71408999999877,-107.51211999999758
Beaver Ck Village,8500,39.59917000000123,-106.51141999999581
Berthoud Summit,11300,39.80391999999974,-105.77789000001755
Bison Lake,10880,39.76487000000754,-107.3568100000176
Black Mesa,11580,37.78972000000062,-108.18365000000297
Black Mountain,8920,40.88800000000341,-105.66396999999525
Brumley,10600,39.08765999999925,-106.54169999998003
Buckskin Joe,11150,39.30350000000008,-106.1130699999924
Buffalo Park,9240,40.228609999995676,-106.59528000000688
Burro Mountain,9400,39.875049999997465,-107.59852999998866
Butte,10160,38.89433000000103,-106.9529999999869
Cascade,8880,37.65082999999877,-107.80602000001123
Cascade #2,8920,37.657999999997045,-107.80267999999205
Chapman Tunnel,10110,39.26217000000164,-106.62930999999226
Cochetopa Pass,10020,38.16282999999467,-106.59882999999637
Columbine,9160,40.3948000000043,-106.60407999999028
Columbine Pass,9400,38.417949999998704,-108.38248999999117
Columbus Basin,10785,37.44146999999887,-108.02445000001735
Copeland Lake,8600,40.20777999999736,-105.5686099999884
Copper Mountain,10550,39.48954000000027,-106.17095000002112
Crosho,9100,40.16745000000351,-107.05749999999581
Culebra #2,10500,37.20944999999901,-105.19958999998356
Cumbres Trestle,10040,37.01878000000386,-106.45178999999204
Deadman Hill,10220,40.80570999999196,-105.76992999998639
Dry Lake,8400,40.53396999999438,-106.78130000000391
Echo Lake,10600,39.65627000000078,-105.59345000000926
El Diente Peak,10000,37.78617000000184,-108.02154999998245
Elk River,8700,40.8478100000051,-106.96871000001039
Elkhead Divide,8780,40.79649000000006,-107.10122000000166
Elliot Ridge,10520,39.864000000001234,-106.42460000001095
Fool Creek,11150,39.868700000002164,-105.86749999999431
Fremont Pass,11400,39.37990999999886,-106.19680999999456
Glen Cove,11460,38.87583000000296,-105.07366999999881
Grayback,11620,37.47033000000319,-106.53783000000067
Grizzly Peak,11100,39.64631000000076,-105.86973000000667
Hayden Pass,10720,38.293260000003485,-105.85049999999991
High Lonesome,10620,40.03591999999823,-105.75471000000346
Hoosier Pass,11400,39.36126999999544,-106.05978000000863
Hourglass Lake,9380,40.57912999999842,-105.63068000000185
Idarado,9800,37.93390000000323,-107.67552000001352
Independence Pass,10600,39.07539000000675,-106.61169000001401
Ivanhoe,10400,39.292019999995034,-106.54923000000373
Jackwhacker Gulch,10960,39.56666999999574,-105.8000000000118
Joe Wright,10120,40.532150000002645,-105.88699999999008
Jones Pass,10400,39.76449999999514,-105.90622999999238
Kiln,9600,39.317240000002776,-106.61453000001333
Lake Eldora,9700,39.93677999999482,-105.58955999999365
Lake Irene,10700,40.41432000000094,-105.81980000001889
Lily Pond,11000,37.37929000000553,-106.54835000001896
Lizard Head Pass,10200,37.799259999999784,-107.92425999999979
Lone Cone,9600,37.89182999999959,-108.1954400000106
Long Draw Resv,9980,40.512300000001616,-105.76559999999698
Lost Dog,9320,40.815880000004434,-106.74835000000718
Loveland Basin,11400,39.67433000000421,-105.90133000001377
Lynx Pass,8880,40.078060000004555,-106.67027999999131
Mancos,10000,37.43087000000193,-108.16954000000449
Mc Clure Pass,9500,39.12896999999977,-107.2880600000152
Mccoy Park,9480,39.60467999999525,-106.54128000000438
Medano Pass,9649,37.85164000000318,-105.43614000000477
Mesa Lakes,10000,39.05830999999463,-108.058349999984
Michigan Creek,10600,39.43577000000083,-105.9107800000065
Middle Creek,11250,37.61978000000328,-107.03481999997905
Middle Fork Camp,8940,39.795600000005855,-106.02729999999043
Mineral Creek,10040,37.84746999999974,-107.72657000002087
Molas Lake,10500,37.7493200000023,-107.68865999999205
Moon Pass,11140,37.96661000000248,-106.55836999999597
Nast Lake,8700,39.29722000000298,-106.60693999999636
Never Summer,10280,40.404050000005356,-105.95582999999371
Niwot,9910,40.035229999999245,-105.54425999999559
North Lost Trail,9200,39.07813000000008,-107.14388999998435
Overland Res.,9840,39.09056000000148,-107.63471999998171
Park Cone,9600,38.81995999999499,-106.58973999999463
Park Reservoir,9960,39.04644000000406,-107.87413999999796
Phantom Valley,9030,40.39936999999921,-105.84756999999057
Porphyry Creek,10760,38.48884000000415,-106.33964999998732
Rabbit Ears,9400,40.36783000000251,-106.74037999998284
Rawah,9020,40.70749999999673,-106.00760000000925
Red Mountain Pass,11200,37.89180000000271,-107.71342000000968
Ripple Creek,10340,40.10811999999479,-107.29411000001015
Roach,9700,40.8750200000001,-106.04602999999635
Rough And Tumble,10360,39.03333000000419,-106.08333000001595
Saint Elmo,10540,38.69977999999734,-106.36800999999
Sargents Mesa,11530,38.28555000000048,-106.3706900000075
Sawtooth,9620,40.13697000000197,-105.58624999999488
Schofield Pass,10700,39.01522000000105,-107.04876999999452
Scotch Creek,9100,37.64556000000009,-108.00786000001028
Sharkstooth,10720,37.50357000000073,-108.11372999999165
Slumgullion,11560,37.99080000000298,-107.20327000002001
South Colony,10800,37.96810999999677,-105.5378700000001
Spud Mountain,10660,37.69865999999588,-107.77714999998722
Stillwater Creek,8720,40.22542999999597,-105.9197700000074
Stump Lakes,11200,37.476209999995056,-107.63294999999927
Summit Ranch,9400,39.717959999999835,-106.15801999998257
Tower,10500,40.537430000002054,-106.67680000000874
Trapper Lake,9700,39.99883999999643,-107.23620000001343
Trinchera,10860,37.35328000000203,-105.23233000001876
University Camp,10300,40.03279000000248,-105.57614999998647
Upper Rio Grande,9400,37.72193999999783,-107.26014999998951
Upper San Juan,10200,37.48576000000519,-106.83534999998511
Upper Taylor,10640,38.99006999999984,-106.74501999998951
Ute Creek,10650,37.614969999996426,-105.37326999998916
Vail Mountain,10300,39.61676000000325,-106.3800599999963
Vallecito,10880,37.485099999995974,-107.50679999998269
Wager Gulch,11100,37.88248000000021,-107.36430000000048
Weminuche Creek,10740,37.51975999999809,-107.32151999999793
Whiskey Ck,10220,37.21411000000077,-105.12245000001558
Wild Basin,9560,40.20105000000284,-105.60248000000132
Willow Creek Pass,9540,40.347030000003286,-106.09432999999436
Willow Park,10700,40.43254000000426,-105.73337000000309
Wolf Creek Summit,11000,37.47922000000035,-106.8016999999874
Zirkel,9340,40.79488000000119,-106.59534999999337
