"Station Name","Station Number","River","Aquatic Model Index","Water Body Id","Water Code","Station Type","Quadi","Township","Range","Section","Quarter Section","Grid","Station Quad","Rw Watershed","Wqcc Watershed","Hydro Unit8","Eco Region","Elevation","Watershed Report","Longitude","Latitude","County","State","Near City","Move","Description","Utmx","Utmy","Region","Comments","Usgs","State Engineering"
"CR17 Br",1,"Rio Grande",,"CORGRG04B","42527 - RIO GRANDE R #2","Biological, Chemical, Physical",,"40N","5E","29","NWNW","F4","Indian Head","Rio Grande","Rio Grande","13010001","S Rockies Low to Middle Elevation Semi-Desert Shru",7987,"Rio Grande Tribs",-106.4599,37.6889,"Rio Grande","Colorado",,"NEW 2017, no Results 2020",,371282,4172299,"13N","7/6/17 - BS created for Del Norte HS.","Yes","No"
"At Stagecoach Res",8,"Yampa","YP0010","COUCYA02A","28634 - YAMPA RIVER #6","Chemical","G-18","4N","85W","36","SWSW","C8","Oak Creek","Green","Yampa","14050001","S Rockies Warm and Dry Forests of the Middle to Lo",7200,"Yampa and White",-106.881371,40.269164,"Routt","Colorado","Oak Creek","NAD83","From town of Oak Creek, travel approx 1.25 mi south on state hwy 131 to county Rd 14.  Turn left and continue about 3.3 mi, then turn right onto bridge crossing the Yampa River (county Rd 16).",340034.28,4459330.42,"13N","2/11/16 - BS moved from 339986/4459368 to put on water (Mindi May's coords were better).","Yes","No"
"East Br",13,"Yampa","YM0015","COUCYA02B","22905 - YAMPA RIVER #3","Chemical","F-16","6N","87W","9",,"D2","Mount Harris","Green","Yampa","14050001","WY Basin Semiarid to Arid Shrublands",6400,"Yampa and White",-107.1588668,40.48821212,"Routt","Colorado","Hayden","NAD83","From the town of Hayden, travel east approx 5 mi on US Hwy 40 to bridge over Yampa River.",317032,4484185,"13N",,"Yes","No"
"Above Lake",19,"Bear Cr","SP1045","COSPBE01A","10087 - BEAR CREEK #3","Chemical","L-31","5S","71W","9",,"F3","Evergreen","South Platte","Bear Creek","10190002","S Rockies Warm and Dry Forests of the Middle to Lo",7080,"S Platte Tribs not in list,N Platte Main and Tribs",-105.3367827,39.63302449,"Jefferson","Colorado","Evergreen","NAD83","From Evergreen Pkwy exit on I-70, take state hwy 74 south approx 7.5 mi to Upper Bear Cr Rd.  Turn west and continue about 1/2 mi to ""Keys on the Green"" parking lot on left.  Station is at south end of lot.",471099,4387082,"13N","Aq. Index > 200m","Yes","No"
"Parkdale",34,"Arkansas","AR0532","COARUA04A","32968 - ARKANSAS R #6A","Chemical","V-31","18S","71W","18","NWNE","D3","Royal Gorge","Arkansas","Upper Arkansas","11020001","S Rockies Warm and Dry Forests of the Middle to Lo",5720,"Upper Arkansas (Source to Pueblo Res)",-105.374,38.4871,"Fremont","Colorado","Canon City","NAD83","From the west side of Canon City, travel west 8 mi on US Hwy 50 to bridge crossing the Arkansas River.  Sample at gaging station on north side of bridge.",467385,4259930,"13N","5/2/12 - BS updt coords.  6/21/16 - BS moved fr WBID COARUA03.","Yes","No"
"Portland USGS",36,"Arkansas","AR3529","COARUA04B","28983 - ARKANSAS R #4","Chemical",,"19S","68W","20","NENE","D1","Florence","Arkansas","Upper Arkansas","11020002","SW Tablelands Grasslands",5037,"Upper Arkansas (Source to Pueblo Res)",-105.0161,38.3887,"Fremont","Colorado","Florence","NAD83","From junction of state hwys 115 & 120 (east of the town Florence), take 120 approx 3.5 mi east to bridge over Arkansas River.  Station is at RR bridge just upstream.",498594,4248939,"13N","6/21/16 - BS moved fr WBID COARUA03, and fr 498608/4248696 to put on water per Desc.
Aq. Index > 200m","Yes","No"
"Avon",41,"Eagle","","COUCEA09A","20038 - EAGLE RIVER #2","Chemical","L-21","5S","82W","12","NWSE","F5","Edwards","Colorado","Eagle","14010003","S Rockies Low to Middle Elevation Semi-Desert Shru",7410,"Eagle",-106.5227519,39.63232508,"Eagle","Colorado","Avon","NAD83","Depart from I-70 at exit 167 (Avon exit), and travel south approx 0.4 mi to bridge over Eagle River.",369321,4388058,"13N","Aq. Index NULL","Yes","No"
"Ped Br",46,"Colorado","CR0058","COUCUC03","19633 - COLORADO RIVER # 4A","Chemical","M-15","6S","89W","9","NESE","E3","Glenwood Springs","Colorado","Lower Colorado","14010001","CO Plateaus Desert Shrublands",5720,"Middle Colorado (Eagle R conf to Palisade)",-107.3243404,39.54815535,"Garfield","Colorado","Glenwood Spgs","NAD83","At Glenwood Spgs exit off I-70, turn right at the traffic light (onto 6th St).  Then turn right at Grand Ave, left at 8th St, left at Cooper Ave, left at 7th St; then immediately park.  Station is at base of pedestrian bridge just to the north.",300283,4380189,"13N","7/8/13 - BS moved WBID from COLCLC01.","Yes","No"
"Granite",48,"Arkansas","AR1530","COARUA03","29048 - ARKANSAS R #9B","Chemical","Q-23","11S","79W","31",,"A3","Granite","Arkansas","Upper Arkansas","11020001","S Rockies Warm and Dry Forests of the Middle to Lo",8928,"Upper Arkansas (Source to Pueblo Res)",-106.2654476,39.04289,"Chaffee","Colorado","Leadville","NAD83","Sample at Arkansas River gaging station within the town Granite.",390487,4322298,"13N",,"Yes","No"
"Keystone G USGS",50,"Keystone G","CR0059","COUCBL08","20848 - KEYSTONE GULCH","Chemical","M-26","5S","77W","26","NENE","E8","Keystone","Colorado","Blue","14010002","S Rockies Low to Middle Elevation Semi-Desert Shru",9356,"Upper Colorado (Source to Eagle conf)",-105.9731,39.5947,"Summit","Colorado","Keystone","NAD83","From US Hwy 6 in town of Keystone, turn south onto W Keystone Rd (only traffic light in town), then left immediately.  Continue 0.4 mi to Soda Ridge Rd and turn right.  Proceed 1/2 mi before turning left onto Keystone Gulch Rd; continue another 1/2 mi to pullout on the right (just above beaver pond next to road).  Stop here and follow path approx 35 yds north to gaging station.",416451,4383227,"13N","3/11/13 - Mod WC to 20848, from 17120.","Yes","No"
